test                                        mean             std           delta          eps, %        coeff
-------------------------------- --------------- --------------- --------------- --------------- ------------
g++/NAIVE_-O2.csv                       8.18e+10        3.36e+07        1.94e+07           0.024     1.000000
g++/NAIVE_-O3.csv                       4.16e+11        2.76e+07        1.04e+07           0.003     0.196480
g++/NAIVE_-Ofast.csv                    4.12e+11        4.44e+07        1.68e+07           0.004     0.198407
g++/ARRAYS_-O2.csv                      6.20e+09        1.74e+07        1.01e+07           0.162    13.188953
g++/ARRAYS_-O3.csv                      3.36e+10        2.74e+07        1.58e+07           0.047     2.431271
g++/ARRAYS_-Ofast.csv                   3.51e+10        4.50e+07        2.60e+07           0.074     2.330054
g++/AVX_-O2.csv                         5.37e+09        1.86e+07        1.07e+07           0.200    15.241235
g++/AVX_-O3.csv                         5.38e+09        1.75e+07        1.01e+07           0.188    15.203517
g++/AVX_-Ofast.csv                      5.35e+09        2.30e+07        1.33e+07           0.248    15.275339
clang++/NAIVE_-O2.csv                   8.18e+10        3.36e+07        1.94e+07           0.024     1.000000
clang++/NAIVE_-O3.csv                   4.08e+11        3.11e+07        1.17e+07           0.003     0.200636
clang++/NAIVE_-Ofast.csv                4.23e+11        8.64e+07        3.27e+07           0.008     0.193099
clang++/ARRAYS_-O2.csv                  2.10e+10        3.72e+07        2.15e+07           0.102     3.900699
clang++/ARRAYS_-O3.csv                  2.08e+10        5.35e+07        3.09e+07           0.148     3.931908
clang++/ARRAYS_-Ofast.csv               2.03e+10        3.23e+07        1.86e+07           0.092     4.034837
clang++/AVX_-O2.csv                     5.78e+09        2.20e+07        1.27e+07           0.220    14.140763
clang++/AVX_-O3.csv                     5.77e+09        2.16e+07        1.25e+07           0.216    14.160119
clang++/AVX_-Ofast.csv                  4.66e+09        1.59e+07        9.15e+06           0.196    17.554148
